Name,Latitude,Longitude
85° Artisan Cafe,9.3174404,123.3033471
Bigby's,9.3222821,123.3121083
Brain Brew,9.3164464,123.3073764
But First Coffee,9.3068205,123.3086295
Cafe Mamia,9.3081583,123.3089386
Casablanca Restaurant,9.30835,123.31175
Cha Tuk Chak,9.3041365,123.3086081
CityMall Dumaguete,9.3292,123.3005
Crete Cafe,9.3256384,123.304766
DGTech Computer,9.3087894,123.3076631
Freedom Park,9.3131063,123.3024986
Gabby's Bistro (Bantayan/Main),9.32718,123.30432
Gabby's Bistro (Boulevard),9.30778,123.30972
Greenwich (Downtown/Perdices),9.30805,123.30778
Greenwich (Robinsons Place),9.29821,123.30312
Jo's Chicken Inato (Main),9.310204,123.3079538
Jollibee near Negros Oriental Provincial Hospital,9.3213349,123.2996134
Jollibee near NORSU,9.311575,123.3048605
Jollibee near Quezon Park,9.30602,123.3076
Jollibee near Robinsons Place Mall,9.29792,123.30384
La Essencia Cafe (Hotel Essencia),9.3089525,123.3056451
La Mensa Bar,9.3202871,123.3102619
Lighthouse Point Hotel Lobby,9.3262058,123.306809
llaollao Boulevard,9.3092609,123.3092622
Lorenzo's Steak en Deli (Don Atilano),9.3216287,123.3072754
Mala King,9.3086886,123.3080506
McDonald's (Business Park/Calindagan),9.29854,123.30412
McDonald's (Downtown Perdices),9.30794,123.30801
McDonald's (North Road/Daro),9.32215,123.29985
Moriah Pension,9.3189217,123.3013061
Pulantubig Barangay Hall,9.3243267,123.2881269
Robinsons Place Mall Calindagan,9.2981397,123.3031973
Rollin' Pin,9.3118974,123.3079089
Sans Rival (Filinvest Mall),9.3226818,123.312058
Sans Rival (Robinsons Place),9.29825,123.30305
Sans Rival Bistro (Boulevard),9.30813,123.3118
Sans Rival Cakes & Pastries (San Jose),9.30815,123.31145
Silliman University Cafeteria,9.3114241,123.3076293
Silliman University College of Arts and Sciences,9.3120477,123.3067404
Silliman University College of Business Administration (PWD Stalls),9.312909,123.3071
Silliman University Library,9.3136022,123.3063143
Silliman University Luce Auditorium,9.313288,123.3056
Silliman University Medical Center,9.3164356,123.3042132
Silliman University Senior High School Building,9.314275,123.305325
The Apartment 5,9.3185567,123.3069842
The Coffee Bean & Tea Leaf,9.3199144,123.3124192
The Henry Resort,9.3273516,123.3102551
Tres Bistro,9.3178512,123.3071118
Wrkpod (HQ/Downtown),9.30811,123.3077
Wrkpod (Northside),9.3285556,123.2960328
Yvan Cafe,9.3193068,123.3068378
